naics3,model,count,observed,expected
445,zinb,10+,1410.0,1558.0642978798828
423,poisson,0,11856.0,10922.594481902925
423,poisson,1,3913.0,4829.415061370844
423,poisson,2,1922.0,2179.5466235712265
423,poisson,3,990.0,1026.728500315914
423,poisson,4,592.0,531.9443560122323
423,poisson,5,341.0,308.0817838074945
423,poisson,6,233.0,196.9531768113308
423,poisson,7,186.0,136.00553029636288
423,poisson,8,127.0,99.39878492121488
423,poisson,9,98.0,75.66322475710446
423,poisson,10+,422.0,373.66847623335093
423,nb2,0,11856.0,12077.47710450052
423,nb2,1,3913.0,3820.554887914105
423,nb2,2,1922.0,1745.557795904172
423,nb2,3,990.0,937.4923874759888
423,nb2,4,592.0,556.3012597664692
423,nb2,5,341.0,355.2946499848729
423,nb2,6,233.0,240.5089220516659
423,nb2,7,186.0,170.67640434188954
423,nb2,8,127.0,125.89696253903884
423,nb2,9,98.0,95.87535203561339
423,nb2,10+,422.0,554.3642734856644
423,zip,0,11856.0,11943.929909193997
423,zip,1,3913.0,3965.618259408913
423,zip,2,1922.0,1975.7613326765306
423,zip,3,990.0,1000.041871433761
423,zip,4,592.0,539.2554852492706
423,zip,5,341.0,317.3521959576927
423,zip,6,233.0,203.3726303827704
423,zip,7,186.0,140.05371052747194
423,zip,8,127.0,102.08762637304125
423,zip,9,98.0,77.69905239444573
423,zip,10+,422.0,414.8279264021037
423,zinb,0,11856.0,12079.605059643061
423,zinb,1,3913.0,3782.509528932661
423,zinb,2,1922.0,1759.157158660456
423,zinb,3,990.0,948.5271561504101
423,zinb,4,592.0,562.3352093109854
423,zinb,5,341.0,358.32517628756045
423,zinb,6,233.0,242.00375295708199
423,zinb,7,186.0,171.42032498059737
423,zinb,8,127.0,126.27701945169846
423,zinb,9,98.0,96.07820078562821
423,zinb,10+,422.0,553.7614128398588
623,poisson,0,5135.0,3468.8971989082693
623,poisson,1,3242.0,3263.151804867952
623,poisson,2,2342.0,2784.0432033914913
623,poisson,3,1871.0,2345.0396296233585
623,poisson,4,1508.0,1930.0936256466443
623,poisson,5,1199.0,1544.4330897479047
623,poisson,6,927.0,1204.7176792648847
623,poisson,7,746.0,920.6418411742867
623,poisson,8,564.0,692.9374723041609
623,poisson,9,478.0,516.4576099533293
623,poisson,10+,2482.0,1823.5868451177184
623,nb2,0,5135.0,5303.594754228048
623,nb2,1,3242.0,3417.4767877228364
623,nb2,2,2342.0,2366.8490365438697
623,nb2,3,1871.0,1735.008503019627
623,nb2,4,1508.0,1320.7271229858916
623,nb2,5,1199.0,1031.539998351487
623,nb2,6,927.0,820.8052499256979
623,nb2,7,746.0,662.530285856976
623,nb2,8,564.0,540.9862184338851
623,nb2,9,478.0,446.03707400395035
623,nb2,10+,2482.0,2848.4449689277308
623,zip,0,5135.0,4737.780401449032
623,zip,1,3242.0,2774.934960956545
623,zip,2,2342.0,2404.702912559945
623,zip,3,1871.0,2067.205288176594
623,zip,4,1508.0,1745.942021420687
623,zip,5,1199.0,1437.9462563039415
623,zip,6,927.0,1155.8448933269779
623,zip,7,746.0,910.2490179513902
623,zip,8,564.0,705.3395071963018
623,zip,9,478.0,540.1328850380302
623,zip,10+,2482.0,2013.9218556205547
623,zinb,0,5135.0,5297.5317643700055
623,zinb,1,3242.0,3395.0516981703045
623,zinb,2,2342.0,2364.7139795831235
623,zinb,3,1871.0,1738.844058351402
623,zinb,4,1508.0,1326.1054572635148
623,zinb,5,1199.0,1036.8664026854588
623,zinb,6,927.0,825.5126687583117
623,zinb,7,746.0,666.4669169067399
623,zinb,8,564.0,544.1709131565705
623,zinb,9,478.0,448.5535393173317
623,zinb,10+,2482.0,2850.182601437238
561,poisson,0,10444.0,10006.720863978198
561,poisson,1,2396.0,3093.521510206809
561,poisson,2,1286.0,1403.2761206429323
561,poisson,3,762.0,706.4978058360823
561,poisson,4,510.0,400.2136946755741
561,poisson,5,331.0,255.1095711062793
561,poisson,6,220.0,178.503523509539
561,poisson,7,149.0,133.0220717422404
561,poisson,8,127.0,102.9993911486886
561,poisson,9,86.0,81.52431367648829
561,poisson,10+,548.0,497.61113347716787
561,nb2,0,10444.0,10647.299176692502
561,nb2,1,2396.0,2425.4359752197065
561,nb2,2,1286.0,1127.7338220075228
561,nb2,3,762.0,649.19564054047
561,nb2,4,510.0,414.9411631251531
561,nb2,5,331.0,284.09001706474925
561,nb2,6,220.0,204.68515696513913
561,nb2,7,149.0,153.4908845769972
561,nb2,8,127.0,118.86904949134438
561,nb2,9,86.0,94.51766040389732
561,nb2,10+,548.0,738.7414539125173
561,zip,0,10444.0,10638.214867059749
561,zip,1,2396.0,2645.876745545123
561,zip,2,1286.0,1278.0505100511436
